study_id,domain,judgement
Alonso R et al 2019,Outcome measurement,Moderate
Alonso R et al 2019,Prognostic factor measurement,High
Alonso R et al 2019,Statistical analysis and reporting,Moderate
Alonso R et al 2019,Study attrition,Moderate
Alonso R et al 2019,Study confounding,Moderate
Alonso R et al 2019,Study participation,Moderate
Broeckle D et al 2022,Outcome measurement,Moderate
Broeckle D et al 2022,Prognostic factor measurement,Moderate
Broeckle D et al 2022,Statistical analysis and reporting,Low
Broeckle D et al 2022,Study attrition,Moderate
Broeckle D et al 2022,Study confounding,Low
Broeckle D et al 2022,Study participation,Moderate
Fonseca R et al 2023,Outcome measurement,Moderate
Fonseca R et al 2023,Prognostic factor measurement,Moderate
Fonseca R et al 2023,Statistical analysis and reporting,Low
Fonseca R et al 2023,Study attrition,Moderate
Fonseca R et al 2023,Study confounding,Moderate
Fonseca R et al 2023,Study participation,Moderate
Hajiyianni M et al 2024,Outcome measurement,Not Applicable
Hajiyianni M et al 2024,Prognostic factor measurement,Not Applicable
Hajiyianni M et al 2024,Statistical analysis and reporting,Not Applicable
Hajiyianni M et al 2024,Study attrition,Not Applicable
Hajiyianni M et al 2024,Study confounding,Not Applicable
Hajiyianni M et al 2024,Study participation,Not Applicable
Mookerjee A et al 2023,Outcome measurement,Moderate
Mookerjee A et al 2023,Prognostic factor measurement,Low
Mookerjee A et al 2023,Statistical analysis and reporting,Low
Mookerjee A et al 2023,Study attrition,Low
Mookerjee A et al 2023,Study confounding,Moderate
Mookerjee A et al 2023,Study participation,Low
Moreau et al 2019-CASSIOPET,Outcome measurement,Low
Moreau et al 2019-CASSIOPET,Prognostic factor measurement,Low
Moreau et al 2019-CASSIOPET,Statistical analysis and reporting,Low
Moreau et al 2019-CASSIOPET,Study attrition,Moderate
Moreau et al 2019-CASSIOPET,Study confounding,Low
Moreau et al 2019-CASSIOPET,Study participation,Moderate
Swain R et al 2025,Outcome measurement,Low
Swain R et al 2025,Prognostic factor measurement,Low
Swain R et al 2025,Statistical analysis and reporting,Moderate
Swain R et al 2025,Study attrition,Low
Swain R et al 2025,Study confounding,Moderate
Swain R et al 2025,Study participation,Moderate
Talarico M et al 2025,Outcome measurement,Not Applicable
Talarico M et al 2025,Prognostic factor measurement,Moderate
Talarico M et al 2025,Statistical analysis and reporting,Low
Talarico M et al 2025,Study attrition,Moderate
Talarico M et al 2025,Study confounding,High
Talarico M et al 2025,Study participation,High
Zamagni E et al 2021,Outcome measurement,Low
Zamagni E et al 2021,Prognostic factor measurement,Low
Zamagni E et al 2021,Statistical analysis and reporting,Low
Zamagni E et al 2021,Study attrition,Low
Zamagni E et al 2021,Study confounding,Low
Zamagni E et al 2021,Study participation,Low
Zamagni E et al 2023,Outcome measurement,Low
Zamagni E et al 2023,Prognostic factor measurement,Low
Zamagni E et al 2023,Statistical analysis and reporting,Low
Zamagni E et al 2023,Study attrition,Moderate
Zamagni E et al 2023,Study confounding,Low
Zamagni E et al 2023,Study participation,Moderate
